Date,Price,Open,High,Low,Vol.,Change %
1/3/2005,83.9,83.9,83.9,83.9,,-3.12%
1/4/2005,83.3,83.3,83.3,83.3,,-0.72%
1/5/2005,93.2,93.2,93.2,93.2,,11.88%
1/6/2005,92.4,92.4,92.4,92.4,,-0.86%
1/7/2005,92.38,92.38,92.38,92.38,,-0.02%
1/10/2005,79.01,79.01,79.01,79.01,,-14.47%
1/11/2005,77.85,77.85,77.85,77.85,,-1.47%
1/12/2005,76.95,76.95,76.95,76.95,,-1.16%
1/13/2005,75.77,75.77,75.77,75.77,,-1.53%
1/14/2005,76.61,76.61,76.61,76.61,,1.11%
1/18/2005,76.53,76.53,76.53,76.53,,-0.10%
1/19/2005,75.96,75.96,75.96,75.96,,-0.74%
1/20/2005,74.46,74.46,74.46,74.46,,-1.97%
1/21/2005,76.3,76.3,76.3,76.3,,2.47%
1/24/2005,76.95,76.95,76.95,76.95,,0.85%
1/25/2005,77.32,77.32,77.32,77.32,,0.48%
1/26/2005,78.19,78.19,78.19,78.19,,1.13%
1/27/2005,80.21,80.21,80.21,80.21,,2.58%
1/28/2005,78.62,78.62,78.62,78.62,,-1.98%
1/31/2005,79.29,79.29,79.29,79.29,,0.85%
2/1/2005,75.96,75.96,75.96,75.96,,-4.20%
2/2/2005,83.9,83.9,83.9,83.9,,10.45%
2/3/2005,83.78,83.78,83.78,83.78,,-0.14%
2/4/2005,75.51,75.51,75.51,75.51,,-9.87%
2/7/2005,72.24,72.24,72.24,72.24,,-4.33%
2/8/2005,72.84,72.84,72.84,72.84,,0.83%
2/9/2005,77.1,77.1,77.1,77.1,,5.85%
2/10/2005,80.4,80.4,80.4,80.4,,4.28%
2/11/2005,81.95,81.95,81.95,81.95,,1.93%
2/14/2005,84.66,84.66,84.66,84.66,,3.31%
2/15/2005,84.12,84.12,84.12,84.12,,-0.64%
2/16/2005,84.1,84.1,84.1,84.1,,-0.02%
2/17/2005,74.24,74.24,74.24,74.24,,-11.72%
2/18/2005,78.46,78.46,78.46,78.46,,5.68%
2/22/2005,83.99,83.99,83.99,83.99,,7.05%
2/23/2005,81.69,81.69,81.69,81.69,,-2.74%
2/24/2005,82.94,82.94,82.94,82.94,,1.53%
2/25/2005,80.7,80.7,80.7,80.7,,-2.70%
2/28/2005,90.05,90.05,90.05,90.05,,11.59%
3/1/2005,89.23,89.23,89.23,89.23,,-0.91%
3/2/2005,101.41,101.41,101.41,101.41,,13.65%
3/3/2005,99.44,99.44,99.44,99.44,,-1.94%
3/4/2005,83,83,83,83,,-16.53%
3/7/2005,76.3,76.3,76.3,76.3,,-8.07%
3/8/2005,81.93,81.93,81.93,81.93,,7.38%
3/9/2005,92.1,92.1,92.1,92.1,,12.41%
3/10/2005,91.14,91.14,91.14,91.14,,-1.04%
3/11/2005,93.7,93.7,93.7,93.7,,2.81%
3/14/2005,93.2,93.2,93.2,93.2,,-0.53%
3/15/2005,92,92,92,92,,-1.29%
3/16/2005,90.77,90.77,90.77,90.77,,-1.34%
3/17/2005,92.12,92.12,92.12,92.12,,1.49%
3/18/2005,90.1,90.1,90.1,90.1,,-2.19%
3/21/2005,91.3,91.3,91.3,91.3,,1.33%
3/22/2005,90.7,90.7,90.7,90.7,,-0.66%
3/23/2005,89,89,89,89,,-1.87%
3/24/2005,88.37,88.37,88.37,88.37,,-0.71%
3/28/2005,88.91,88.91,88.91,88.91,,0.61%
3/29/2005,89.59,89.59,89.59,89.59,,0.76%
3/30/2005,91,91,91,91,,1.57%
3/31/2005,87.7,87.7,87.7,87.7,,-3.63%
4/1/2005,75.16,75.16,75.16,75.16,,-14.30%
4/4/2005,75.11,75.11,75.11,75.11,,-0.07%
4/5/2005,73.64,73.64,73.64,73.64,,-1.96%
4/6/2005,81.15,81.15,81.15,81.15,,10.20%
4/7/2005,79.28,79.28,79.28,79.28,,-2.30%
4/8/2005,81.4,81.4,81.4,81.4,,2.67%
4/11/2005,78.2,78.2,78.2,78.2,,-3.93%
4/12/2005,75.94,75.94,75.94,75.94,,-2.89%
4/13/2005,75.59,75.59,75.59,75.59,,-0.46%
4/14/2005,74.42,74.42,74.42,74.42,,-1.55%
4/15/2005,83.84,83.84,83.84,83.84,,12.66%
4/18/2005,83.84,83.84,83.84,83.84,,0.00%
4/19/2005,84.11,84.11,84.11,84.11,,0.32%
4/20/2005,84,84,84,84,,-0.13%
4/21/2005,85.81,85.81,85.81,85.81,,2.15%
4/22/2005,84.18,84.18,84.18,84.18,,-1.90%
4/25/2005,78.55,78.55,78.55,78.55,,-6.69%
